,STORE_TYPE,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,POINT_X,POINT_Y,HCSI,NBHD_NAME,COUNCIL_DISTRICT,GLOBALID
36,Convenience Store,Mile High Convenience,,2105 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025589,39.74915,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
37,Convenience Store With Gas,Diamond Shamrock,,1945 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.02566100000001,39.747332,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
38,Closed Small Grocery Store,Los Barron,,3006 W 23rd Ave,,Denver,CO,80211.0,(303) 412-7191,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-105.025578,39.751087,,Sloan Lake,Council District 1,{00000000-0000-0000-0000-000000000000}
39,Convenience Store,7-Eleven,,4406 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.052878,39.776923,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
40,Convenience Store,Tennyson Sun Mart,,4400 W 39TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.044156,39.770869,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
41,Convenience Store With Gas,1st Stop,,3701 W 44TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03611299999999,39.776921,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
42,Convenience Store With Gas,Conoco,,4785 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.025622,39.783559000000004,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
43,Convenience Store With Gas,Safeway Fuel,,3600 W 44TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.03491000000001,39.776458,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
44,Convenience Store With Gas,Valero,,4498 N SHERIDAN BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.05286000000001,39.778095,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
45,Supermarket,Safeway,,3800 W 44th Ave,,Denver,CO,80211.0,(303) 458-8418,,,541105.0,445110.0,28382000.0,,110.0,100 to 249,,"40,000+",InfoGroup2014,-105.03693500000001,39.77606,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
46,Specialty Food Store,Belfiore Genuine Italian Sausage,,3930 Lowell Blvd,,Denver,CO,80211.0,(303) 455-4653,,,542107.0,445210.0,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.034272,39.771336,,Berkeley,Council District 1,{00000000-0000-0000-0000-000000000000}
47,Convenience Store,Regis Convenience Store,,5001 N LOWELL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.035068,39.787585,,Regis,Council District 1,{00000000-0000-0000-0000-000000000000}
48,Small Grocery Store,Longmont Meats,,5115 N FEDERAL BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.026604,39.789909,,Regis,Council District 1,{00000000-0000-0000-0000-000000000000}
49,Convenience Store With Gas,7-Eleven,,4708 N WASHINGTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.978175,39.782047999999996,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
50,Convenience Store With Gas,C Store,,4500 N WASHINGTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.9787,39.778773,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
51,Convenience Store With Gas,Western Convenience,,5050 Washington St,,Denver,CO,80216.0,(303) 297-3656,,,541105.0,445110.0,1290000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.97780300000001,39.788465,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
52,Small Grocery Store,Panaderia Emmanuel,,500 E 45TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.980979,39.778178999999994,Healthy Corner Store Initiative,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
53,Specialty Food Store,Custom Superfresh Poultry,,810 E 50th Ave,,Denver,CO,80216.0,(303) 292-9898,,,549907.0,445210.0,343000.0,,3.0,1 to 4,,"2,500 - 9,999",InfoGroup2014,-104.975907,39.787518,,Globeville,Council District 9,{00000000-0000-0000-0000-000000000000}
54,Convenience Store,El Duranguense Groceries,,4701 N Brighton Blvd,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.966802,39.78203,Healthy Corner Store Initiative,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
55,Convenience Store,El Tepetate Market,,4555 Thompson Ct,,Denver,CO,80216.0,(303) 308-1613,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.955605,39.779865,Healthy Corner Store Initiative,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
56,Convenience Store,Jerry's Round The Corner,,4301 CLAYTON ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.954467,39.776557000000004,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
57,Convenience Store,Stop N Shop,,2331 E 46th Ave,,Denver,CO,80216.0,(303) 295-7542,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.958928,39.780307,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
58,Convenience Store With Gas,7-Eleven,,1670 E 47TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967009,39.781674,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
59,Convenience Store With Gas,7-Eleven,,3200 E 45TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.94935100000001,39.778771,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
60,Convenience Store With Gas,Conoco,,4001 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.941259,39.77324,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
61,Convenience Store With Gas,Pilot Travel Center,,4640 N STEELE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.948729,39.781464,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
62,Small Grocery Store,Singles Market Place,,3950 Wynkoop St,,Denver,CO,80216.0,(303) 295-3000,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.97296200000001,39.774078,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
63,Specialty Food Store,Growhaus,,4751 York St,,Denver,CO,80216.0,(720) 502-3399,,,543102.0,445230.0,1011000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.95986699999999,39.782663,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
64,Specialty Food Store,Swansea Corner Store,,3075 E 51st Ave,,Denver,CO,80216.0,(303) 292-2574,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.95149199999999,39.789284,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
65,Superette,Panaderia Y Restaurante Sanchez,,2630 E 46TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.9549,39.779655,,Elyria Swansea,Council District 9,{00000000-0000-0000-0000-000000000000}
66,Convenience Store,I Love It Market,,900 Auraria Parkway,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.00466899999999,39.745717,,Auraria,Council District 9,{00000000-0000-0000-0000-000000000000}
67,Convenience Store With Gas,Conoco/Circle K,,1500 7th St.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.010443,39.745535,,Auraria,Council District 9,{00000000-0000-0000-0000-000000000000}
68,Convenience Store,7-Eleven,,2341 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.959055,39.74033,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
69,Convenience Store,7-Eleven,,3177 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.95041,39.740417,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
70,Convenience Store With Gas,Conoco/Circle K,,1501 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.94108200000001,39.740546,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
71,Small Grocery Store,Sprouts Farmers Market,,3625 E Colfax Ave,,Denver,CO,80206.0,(720) 347-4205,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.94504199999999,39.740559000000005,,City Park,Council District 9,{00000000-0000-0000-0000-000000000000}
72,Convenience Store,7-Eleven,,3400 N YORK ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.959429,39.764762,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
73,Convenience Store,Sahara Mini Market,,2521 Bruce Randolph Ave,,Denver,CO,80205.0,(303) 329-2556,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.95679799999999,39.764601,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
74,Closed Convenience Store,Tommy's Market,,3119 Bruce Randolph Ave,,Denver,CO,80205.0,(303) 322-5194,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.95076599999999,39.764627000000004,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
75,Convenience Store With Gas,7-Eleven,,3990 E 35TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.94096200000001,39.765392,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
76,Pharmacy,Walgreen,,3555 N COLORADO BLVD,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.940927,39.766607,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
77,Small Grocery Store,A Mart Store,,3770 E 40TH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.943475,39.771949,,Clayton,Council District 9,{00000000-0000-0000-0000-000000000000}
78,Convenience Store,Ben's Super Market,,2301 E 28th Ave,,Denver,CO,80205.0,(303) 295-2094,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.959544,39.757175,Healthy Corner Store Initiative,Skyland,Council District 9,{00000000-0000-0000-0000-000000000000}
79,Small Grocery Store,Frank's Food Mart,,2800 Madison St,,Denver,CO,,,,,,,,,,,,,DEH2015,-104.946272,39.757102,Healthy Corner Store Initiative,Skyland,Council District 9,{00000000-0000-0000-0000-000000000000}
80,Convenience Store,La Tienda Garcia,,1620 E Bruce Randolph Ave,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967703,39.764340999999995,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
81,Convenience Store,Novedades Sanches,,1626 BRUCE RANDOLPH AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.967499,39.764371999999995,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
82,Convenience Store,York Market,,3349 York St,,Denver,CO,80205.0,(303) 295-8996,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.960098,39.764255,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
83,Closed Convenience Store,Sam's Grocery - Star Sam Grocery,,1800 E 33rd Ave,,Denver,CO,80205.0,(303) 296-0878,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.965745,39.763116,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
84,Convenience Store With Gas,K & G Store,,3550 N DOWNING ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.972978,39.766207,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
85,Dollar Store,Dollar Tree,,3360 Downing St,,Denver,CO,80205.0,(303) 291-9051,,,533101.0,452990.0,1862000.0,,11.0,10 to 19,,"2,500 - 9,999",InfoGroup2014,-104.972682,39.763938,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
86,Small Grocery Store,Abarrotes Le Herradura,,3401 N FRANKLIN ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.968654,39.764661,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
87,Small Grocery Store,Downing Supermarket,,3340 Downing St,,Denver,CO,80205.0,(303) 294-0319,,,541105.0,445110.0,6450000.0,,25.0,20 to 49,,"2,500 - 9,999",InfoGroup2014,-104.973289,39.764063,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
88,Superette,Carniceria Jalisco,,3300 Downing St,,Denver,CO,80205.0,(303) 296-0168,,,542107.0,445210.0,1051000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-104.97295600000001,39.763508,,Cole,Council District 9,{00000000-0000-0000-0000-000000000000}
89,Convenience Store,7-Eleven,,1800 N DOWNING ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.972977,39.745014000000005,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
90,Convenience Store,7-Eleven,,1975 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.963824,39.740284,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
91,Closed Convenience Store,Namaste International Grcrs,,1201 E Colfax Ave,,Denver,CO,80218.0,(303) 832-3161,,,541105.0,445110.0,258000.0,,1.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.97178899999999,39.740388,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
92,Convenience Store With Gas,Sinclair,,1895 E COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.965101,39.740322,,City Park West,Council District 9,{00000000-0000-0000-0000-000000000000}
93,Convenience Store,Gem Supermarket,,2958 Downing St,,Denver,CO,80205.0,(303) 296-1239,,,541105.0,445110.0,516000.0,,2.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.972996,39.759146,Healthy Corner Store Initiative,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
94,Convenience Store,Lincoln Market,,1704 E 25th Ave,,Denver,CO,80205.0,(720) 390-5954,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.966959,39.753067,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
95,Convenience Store,Ma Convenience,,1736 E 31ST AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.96631599999999,39.76056,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
96,Convenience Store,Papa's Corner Market,,1527 E 29th Ave,,Denver,CO,80205.0,(720) 328-5973,,,541105.0,445110.0,774000.0,,3.0,1 to 4,,"0 - 2,499",InfoGroup2014,-104.968825,39.758477,,Whittier,Council District 9,{00000000-0000-0000-0000-000000000000}
97,Convenience Store,7-Eleven,,1550 COURT PL,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98909499999999,39.741721000000005,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
98,Convenience Store,7-Eleven,,1726 CHAMPA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99202199999999,39.747771,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
99,Convenience Store,7-Eleven,,401 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98958400000001,39.743376,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
100,Convenience Store,7-Eleven,,1800 LAWRENCE ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99371000000001,39.750461,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
101,Convenience Store,7-Eleven,,621 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98975800000001,39.746194,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
102,Convenience Store,7-Eleven,,820 16TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.993922,39.746143,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
103,Convenience Store,Russell's,,1050 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99468700000001,39.748090000000005,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
104,Convenience Store,Russell's,,201 W COLFAX AVE,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99026200000002,39.740486,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
105,Convenience Store,Russell's,,707 17th St,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.990622,39.747101,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
106,Convenience Store,Russell's,,600 17TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99038600000002,39.745490999999994,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
107,Convenience Store,Russell's,,999 18TH ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.99134,39.749204,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
108,Dollar Store,Family Dollar,,990 Federal Blvd,,Denver,CO,80204.0,(303) 893-4863,,,533101.0,452990.0,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.024703,39.732751,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
109,Dollar Store,N J Trading,,830 Federal Blvd,,Denver,CO,80204.0,(303) 893-0854,,,533102.0,452990.0,846000.0,,5.0,5 to 9,,"0 - 2,499",InfoGroup2014,-105.02478300000001,39.729954,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
110,Specialty Food Store,Pasteles Espinosa,,2970 W. Barberry Pl.,,Denver,CO,,,,,,,,,,,,,DEH2014,-105.024107,39.730089,,Sun Valley,Council District 3,{00000000-0000-0000-0000-000000000000}
111,Convenience Store,Russell's,,1625 N BROADWAY,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.98786100000001,39.742529,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
112,Convenience Store,Russell's,,1801 CALIFORNIA ST,,Denver,CO,,,,,,,,,,,,,DEH2014,-104.989585,39.747508,,CBD,Council District 9,{00000000-0000-0000-0000-000000000000}
